	survivalSVM	CoxBoost+survivalSVM	Ridge	Lasso+survivalSVM	SuperPC	CoxBoost+Ridge	Enet[alpha=0.1]	CoxBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	CoxBoost+Enet[alpha=0.3]	CoxBoost+Enet[alpha=0.2]	Enet[alpha=0.4]	CoxBoost+Enet[alpha=0.4]	Lasso+CoxBoost	Enet[alpha=0.5]	CoxBoost	CoxBoost+Enet[alpha=0.5]	Enet[alpha=0.6]	CoxBoost+Enet[alpha=0.6]	CoxBoost+Enet[alpha=0.7]	CoxBoost+Enet[alpha=0.8]	Enet[alpha=0.8]	Enet[alpha=0.9]	Lasso	Enet[alpha=0.7]	CoxBoost+Enet[alpha=0.9]	CoxBoost+Lasso	Lasso+plsRcox	CoxBoost+plsRcox	CoxBoost+StepCox[forward]	Lasso+StepCox[forward]	RSF+survivalSVM	StepCox[forward]	plsRcox	RSF+Ridge	RSF+Enet[alpha=0.1]	RSF+plsRcox	RSF+StepCox[forward]	RSF+Enet[alpha=0.2]	RSF+Enet[alpha=0.3]	RSF+Enet[alpha=0.6]	RSF+Enet[alpha=0.7]	RSF+Enet[alpha=0.5]	RSF+CoxBoost	RSF+Enet[alpha=0.9]	RSF+Enet[alpha=0.4]	RSF+Enet[alpha=0.8]	RSF+StepCox[both]	RSF+StepCox[backward]	StepCox[both]+Ridge	StepCox[backward]+Ridge	StepCox[both]+plsRcox	StepCox[backward]+plsRcox	StepCox[both]+Enet[alpha=0.9]	StepCox[backward]+Enet[alpha=0.9]	StepCox[both]+Enet[alpha=0.1]	StepCox[backward]+Enet[alpha=0.1]	StepCox[both]+Enet[alpha=0.8]	StepCox[backward]+Enet[alpha=0.8]	StepCox[both]+Enet[alpha=0.2]	StepCox[backward]+Enet[alpha=0.2]	StepCox[both]+Lasso	StepCox[backward]+Lasso	StepCox[both]+Enet[alpha=0.6]	StepCox[backward]+Enet[alpha=0.6]	CoxBoost+GBM	StepCox[both]+Enet[alpha=0.7]	StepCox[backward]+Enet[alpha=0.7]	StepCox[both]	StepCox[backward]	StepCox[both]+Enet[alpha=0.4]	StepCox[backward]+Enet[alpha=0.4]	StepCox[both]+Enet[alpha=0.3]	StepCox[backward]+Enet[alpha=0.3]	StepCox[both]+CoxBoost	StepCox[backward]+CoxBoost	StepCox[both]+Enet[alpha=0.5]	StepCox[backward]+Enet[alpha=0.5]	CoxBoost+RSF	RSF	Lasso+GBM	RSF+GBM	GBM	StepCox[both]+survivalSVM	StepCox[backward]+survivalSVM	Lasso+RSF	StepCox[both]+GBM	StepCox[backward]+GBM	StepCox[both]+RSF	StepCox[backward]+RSF
GSM1820740	3017.17532207065	768.344527229633	1.31826750770985	739.780824150861	-1.2945368727315	2.12381155751829	1.94507619237473	2.0115731189242	1.39384067514318	1.37945811472253	1.95152149763872	1.88545984115563	1.24149055619139	1.99042914745615	-0.608770126012336	1.12187954477899	-0.322394225425092	2.09153707179449	1.23283343830485	2.16878192097648	1.97000527306139	2.18494082150784	1.09668781758116	0.788058496867569	0.933465355891697	1.22468320638029	1.52117460593053	2.34617326751816	-0.732765149658916	-0.697380452683396	-0.758150978752391	-0.816002783018379	725.49648480797	-0.200282110129038	0.0694291096637056	3.40004376292373	1.58166097014125	0.174496029639599	0.216773437697097	2.39491880919807	2.90182639769477	1.6178015677657	0.899569278217243	1.27874952459453	-0.213093301354087	3.31594453272665	2.57742851913768	2.78391533446431	0.392744065930617	0.392744065930617	2.8688297151704	4.52468452938325	0.601637929196897	0.404069464193178	1.43484519870085	4.95058214540726	1.45703762931258	5.05741431419116	1.98517822776389	5.17148708485987	1.80400054780474	4.45734042647349	1.84822519491954	4.93326884211597	1.94254153304524	4.79652714531611	-0.082102295986121	0.983960750058221	5.202777479956	1.38184239963675	1.66382438692328	1.72392970652995	1.75592378281987	2.66649575671295	4.93662761255015	-0.362528621417727	-0.283077536942738	1.91165168295355	4.780023418184	41.9814492063492	52.1017349206349	0.0923357626325785	1.35075996189114	0.628981512645614	1302.79633540097	627.625681889379	46.6937376984126	0.279794210405568	0.91458791214102	54.9678817460318	54.6862801587303
GSM1820741	586.931119637813	667.63484122748	1.59682891887772	668.274923305104	0.0114077111834119	2.66167736522018	2.36747049067405	2.55878177318724	1.76414521632478	1.78317270203092	2.53906320123293	2.42272334840007	1.62951200956816	2.61290353530499	0.0233621008081066	1.48076928181764	0.00085104201391261	2.76649120181585	1.64198894376216	2.8804987798345	2.61809376327388	2.91231684018973	1.47762649299844	1.08719370388302	1.28007051989183	1.64029821006768	2.03784529641014	3.1340574938848	0.023433201169224	0.0103633402158777	0.0528691237199893	0.06566117676424	663.395663538028	2.14186180950495	0.307517199256833	3.95450753763007	1.87961962967457	0.468392469759687	0.562129983456483	2.81729025697968	3.36304842147058	1.94615500093518	1.08899285738586	1.52745534243001	0.247130368664767	3.79835346410986	3.01644957269993	3.23694052496959	0.664410227701081	0.664410227701081	3.38575459192538	4.49960766781777	0.591182619034273	0.836559121590141	2.00187016047989	4.66055267273039	1.87869934517702	4.78878858043539	2.58107158291132	4.81430141453481	2.31512498580894	4.42079641888744	2.44025606506981	4.64292346486809	2.52095682669479	4.58140468159044	0.129799280697076	1.45683121357264	4.83972341834561	1.88357949596472	1.17576512783269	2.25753402365093	2.22979597377746	3.13723960262683	4.69712471484881	0.234778269211883	0.268737053010209	2.47750785273109	4.58007346272818	39.2667496031747	32.042069047619	0.242610368482953	0.35097702449552	0.176031813436346	652.52870603531	631.769008960286	37.2386246031746	-0.0543713357147195	0.136165895885199	34.4051289682539	31.765701984127
GSM1820742	-147.202098830607	582.063056682938	1.72907528455319	603.419206643671	1.10430019025762	3.14011472810872	2.72824335993035	3.03395801323664	2.08444231984289	2.12837721605244	3.03429307243454	2.88240451396146	1.95511646470576	3.13275059128293	0.542980990078695	1.77631485932696	0.251963296952264	3.32678382159222	1.97812586645385	3.46999482924092	3.15355925366747	3.51346488838936	1.78317191600416	1.31869856982003	1.55163154353407	1.97929428615506	2.45930204246886	3.78492624372562	0.724782563323673	0.654537666595309	0.723238795475329	0.809862209423473	572.743625184214	3.17118269846525	1.35096626147672	4.38538482604443	2.1349796471978	0.854900295121023	0.814715669907855	3.22369818421334	3.85683253843199	2.25779459361766	1.25836936740884	1.76394046926293	0.811618143019928	4.37214196301172	3.48701203248366	3.75712111335441	0.963596827735716	0.963596827735716	3.94489416296858	4.83689740348802	1.39782904774808	0.686139353801402	2.49169654508993	4.80176985390566	2.21254398040057	4.96114841442421	3.20129738789441	4.90632137143005	2.78280087283335	4.75309347208513	3.0285417595077	4.78243132365776	3.10837745683274	4.78256285246453	0.409091557256698	1.81649703761211	4.92800812066908	2.18755785409059	1.16243137624221	2.75207910583135	2.59771626823147	3.66206852035946	4.88490635517785	0.834727851937912	0.765529822007767	3.04264631014313	4.79403924177209	64.5205007936507	73.2090337301587	0.54279075140697	2.14542061453247	1.27638286802743	439.643025829344	595.633502460242	67.0736496031746	1.45063631411419	1.77414350911695	71.0255571428571	64.158261111111
GSM1820745	101.639254429962	679.390454991832	1.62992476302827	671.491843743524	-0.0355901049237547	2.59401170733548	2.32995708000707	2.49040722656025	1.74314123980529	1.75696171040775	2.46530999019203	2.35593013610475	1.59709310725267	2.533657212826	0.00780861730823775	1.44338481762052	-0.0273952123922983	2.67826702922172	1.60374476857195	2.78526410148728	2.53334106315145	2.81320455929524	1.43625967154175	1.0608584991598	1.24771427159586	1.60018051863871	1.97458517371794	3.02357420702235	0.0202024309734956	-0.0781137805635713	-0.0616364709680454	0.0720005199008856	661.341100331697	2.89630389137257	-0.221807177540905	3.82338171377816	1.8620551714606	0.692030926603061	0.967015055769517	2.74489018057163	3.21968011706642	1.92812714705626	1.07618977232674	1.5047583087716	0.0427469350403817	3.55536512761154	2.90606982759144	3.07836865427925	0.207762415094296	0.207762415094296	3.52414744650706	4.78470474276317	0.580816101483087	1.33401051264372	1.98933986757164	5.12846757186121	1.92680806753608	5.24022695128068	2.52799370737326	5.3303694802375	2.32884981041834	4.71721446265909	2.38900626759919	5.11102165570767	2.48115690033884	4.99765701744478	0.230801176665955	1.46695724887638	5.36044205362693	1.85118283688767	1.78951189024543	2.24763550699134	2.1907236676808	3.27906149606524	5.12949273638188	0.182325394645679	0.163059437814562	2.44651972049979	4.98568922596967	48.459007936508	54.4313071428572	0.495146377973288	1.68550032009819	0.892829133184111	561.535832921943	642.606382617576	54.7535571428572	1.2597283386168	2.10044300368971	58.2862015873016	57.9428154761906
GSM1820749	1578.0997009791	699.148515818705	1.49010834821573	684.79811483113	-0.355671331573823	2.48789744311039	2.22848784946144	2.37984973125104	1.66439437207117	1.67491572379423	2.34161537603323	2.245988041707	1.52209811112763	2.39916086061242	-0.106983195076779	1.37395468239981	-0.0781049817638006	2.52717116965557	1.52404253111124	2.62143462639768	2.38751014494176	2.64202654993188	1.36378014178232	1.01315773319432	1.19014394899099	1.5193758482059	1.8650033303716	2.8320486602418	-0.112787395130706	-0.212341747577985	-0.260145526059704	-0.119084169746561	699.076266164599	0.346562350726071	-0.0414697711661664	3.80794174288359	1.82681212004717	-0.176612198702216	-0.139138910880106	2.67973477118715	3.12255910951639	1.88367937395081	1.05883266856819	1.47138088440059	-0.0958965863463123	3.39644759987245	2.81504476263593	2.95293968777997	-0.428714920476296	-0.428714920476296	2.11447155327383	3.30534462523056	-0.0793910239178814	-0.874519322121171	1.78196455543984	3.27848499529952	1.73441836155126	3.39972211257638	2.19068541736539	3.37263800632598	2.06617207716797	3.2239865409661	2.0935773768913	3.2636476704923	2.17069474072729	3.25172862806392	-0.208805128760106	1.33873883869251	3.39042513568714	-0.0697590553627317	-0.378844737202134	2.01378245261855	1.89365759107648	1.76345490692908	3.33652658663619	-0.126395245999147	-0.314028581359159	2.15321328243117	3.25933251532772	18.2865765873016	21.3369206349206	-0.0199215591370617	-0.0856320452116826	-0.0644595385106277	895.482752940016	650.799620928474	29.9704738095238	-0.546185353949891	-1.05626189004093	19.9102658730159	13.3452341269841
GSM1820751	-930.887180816953	624.920801972916	1.75957576724072	634.805127588888	0.756549177160924	2.90693776022394	2.53025423877387	2.79305539091351	1.92459450066999	1.95001018734307	2.76848583674997	2.64383632384606	1.78463576516104	2.84636577537713	0.262386516866807	1.62089237636607	0.126707232885485	3.00917789134569	1.79844204979168	3.12911986959602	2.84739605786484	3.16017403483132	1.62001556043564	1.20202206535301	1.41321363554137	1.79718412043992	2.22338787702155	3.39455273217944	0.392156813554493	0.355204072333047	0.319665934315668	0.364037406133155	613.465922366	0.206456715420838	-0.158034517634181	4.08077727241136	2.05863173754384	0.0235571269811674	-0.255402307592904	2.95176058441318	3.36250881020143	2.14040200951406	1.20419666921079	1.67821113936375	0.125467822332365	3.61562172654984	3.07616410900591	3.20724060356194	-0.0114668820959154	-0.0114668820959154	1.54910752226018	3.16862700580496	-0.0119058484895689	-0.325152147711142	2.03223864715842	2.98901209963671	1.99063521040908	3.10238368236594	2.40714904060739	3.03908097597876	2.32170073054273	3.08190166655089	2.31269987896807	2.97655943893588	2.39318885530196	3.00127326500859	0.222607789390164	1.57767461134072	3.05136959655414	-1.05078601702308	-0.789880971982159	2.25124418833311	2.22211640194263	1.14278779952579	3.06223206034311	0.0945696095035253	0.0323956996542173	2.37955596064719	3.01563802695842	38.1306115079365	26.5237825396825	0.328702116045693	-0.169980987904684	-0.0849277254500382	324.095226250355	617.878961516485	31.1866186507937	-0.372158809681976	-0.670041241627052	22.7567218253968	22.4645579365079
GSM1820752	1814.63210852272	737.729433683053	1.43102337070377	717.330221111717	-0.876548783438988	2.26616904984196	2.04733077149215	2.16340061217071	1.51721855064106	1.51290934669907	2.12245055499287	2.03866320119572	1.36721752187056	2.17311859680175	-0.374222408213256	1.23644918168236	-0.206734070916957	2.28939704363792	1.36643607411695	2.37616948397601	2.16120712981519	2.39608652397843	1.22140651696002	0.895731234124269	1.05437032378227	1.36071902837741	1.67997707436609	2.57264460394463	-0.485431433140713	-0.517804657698294	-0.525897644629	-0.48463481991941	747.450586249943	-0.471548222740279	-0.710071343996037	3.43079669308936	1.65958857072704	-0.66065902407409	-0.759337249176878	2.39873235880935	2.76334303806183	1.71392311206085	0.960938583925011	1.34518370766882	-0.474263867041458	3.00802939744178	2.50994319087841	2.63441038965391	-0.767629900886401	-0.767629900886401	1.44796050436425	3.30648222163289	-0.387245471957284	-0.222348700325906	1.59927726968736	3.26577309374509	1.6473074013293	3.37218555353468	1.99660759341419	3.34572168025632	1.93497907362221	3.23244104763715	1.89413191357493	3.25301114019015	1.98496611718388	3.24499563641943	-0.597884007945842	1.19741419001839	3.36089504533557	-0.873636638582134	-0.430459971642662	1.84935613536476	1.88062444782715	1.11001872191104	3.31779037991935	-0.324766872419152	-0.312749574905437	1.97387496178472	3.25230956402903	7.35455158730159	5.55174007936508	-0.714571225792732	-2.02377638372016	-1.15862020550324	936.891016032114	657.339185737051	3.29706349206349	-1.20624388788094	-1.77348012379241	5.56292817460318	6.5575492063492
GSM1820754	2036.57465684527	752.835587056174	1.3889043957459	727.748923922349	-1.24089608680926	2.19115229972781	1.97623084231636	2.09544850767094	1.45659371995964	1.46220925033756	2.06255280927633	1.97706374942349	1.32744136802386	2.11534948082954	-0.416850309676891	1.20051923752596	-0.233444673530235	2.23264560089168	1.32925471797632	2.32023122685008	2.10935775022109	2.34206477508686	1.18889060647829	0.870841994753028	1.02641780979027	1.32481473257585	1.63934550235066	2.51695184906685	-0.59097050150062	-0.628811966728491	-0.582706769258414	-0.520688212513737	750.481088333631	-2.97300493348745	-0.819812776388696	3.39151778913873	1.60308173544428	-0.669902813108704	-0.954831124697066	2.34863489448497	2.75199939553489	1.63757482397674	0.913293760561577	1.28398180589368	-0.457967151157637	3.04243268842991	2.47262442695244	2.61804301721063	-0.519464269097849	-0.519464269097849	1.1458059097169	2.70975458303155	-0.470041515546625	-1.00439006042968	1.57096269375832	2.45939741582316	1.55545333847552	2.5728674562148	2.00275157425742	2.47542112222722	1.8695470504623	2.63168935523779	1.88772818114514	2.44790009979833	1.97122677885268	2.50085547792063	-0.513597061346713	1.15897954993583	2.483731893454	-1.8899735951999	-1.42280990269807	1.79473760786064	1.77705889405261	0.734571358792215	2.54654988609325	-0.32732857362554	-0.383047743402469	1.94758742371354	2.51970652242369	9.91663015873015	5.05577063492063	-0.625899528983108	-1.8551999478741	-1.13246044299686	952.020827065145	652.576335175561	4.89788174603175	-1.093422007667	-1.32764187717586	7.10388650793651	7.60796865079365
GSM1820755	1215.10408167353	715.415651467508	1.49431562949431	699.241870077317	-0.587883141002014	2.38623484217345	2.17157697439738	2.27849026993379	1.58807340356506	1.58995171853105	2.23721354727709	2.14709699852899	1.43848644416713	2.29325414252949	-0.278351378494906	1.29629080465546	-0.181673933557513	2.42116704843642	1.4338347707438	2.51790971220607	2.28567934124128	2.54330464228247	1.27389887644299	0.920049428247348	1.08606304230565	1.42572045674617	1.76690382939445	2.73867003494285	-0.292430130606262	-0.352468788433934	-0.353315556217431	-0.298505488311368	660.483534456139	2.08798242885091	-0.552679519258067	3.67714776688851	1.75044827110449	0.459767175335625	0.467388728131473	2.64142133345726	3.18241386462002	1.79765300647341	0.993297191119481	1.40720713648144	0.0690308022409576	3.62822309160444	2.83793733003193	3.06240059683465	0.619565630553729	0.619565630553729	3.382429233889	4.82943002126112	0.577601830702768	1.0115168749747	1.76858005839807	5.17090343120041	1.72760399517359	5.30817976004926	2.35949387390876	5.39064367291643	2.13037983136044	4.74617333633571	2.20843348413902	5.15031439233127	2.30292074002049	5.03558843410954	0.193822006626378	1.25226792132806	5.42423481600632	1.57872167442009	1.8793447549313	2.04507160867527	2.00262647017907	3.13307583611118	5.18483077668835	0.00346586469315956	0.022266928701489	2.2624126428207	5.02527433697973	56.6604876984127	53.4350888888889	0.14184098029171	1.29580205335331	0.548656290148812	875.411503529449	679.90328274796	53.7620583333333	0.870176102340664	1.43184851038744	61.2252365079365	58.5355912698413
GSM1820757	-541.955635461689	650.187697379729	1.7017744090486	653.721021800787	0.279194344432906	2.76524475848234	2.4276729778892	2.66402853712447	1.84614245471188	1.87317158974642	2.65059774700198	2.52648798181032	1.71572196706023	2.7279882889348	0.19593744205802	1.5611139724886	0.102501788483083	2.88467809515843	1.73538361290217	2.99868828614388	2.73200407908517	3.02759320512214	1.57001413584866	1.17909123712941	1.38315717062012	1.73711702434124	2.14311294409086	3.24797511427472	0.199106001890335	0.14976861536727	0.167700022408661	0.258295648480493	638.065789303221	-0.286733237949016	-0.474833578526402	3.89320902662403	1.94062968076167	-0.0545523611682393	-0.0363821890441433	2.80742551250103	3.22589847170156	2.02593770906608	1.14862443104829	1.5865675905099	2.11079579468809e-05	3.47394316563562	2.93331741066766	3.06310778110564	-0.062759208192285	-0.062759208192285	2.28431999034111	3.62387564712617	-0.0282641359386933	0.197343834244483	2.0557025370811	3.57803544052531	1.98361022131237	3.68070729567812	2.50366755690104	3.65700654904147	2.35498036670486	3.55088608487453	2.38514933182734	3.56564911841773	2.46985424632264	3.55812919734092	0.115616370044937	1.56985840827963	3.67218774121168	-0.0532323118775724	-0.112147550478268	2.2784173335464	2.266248053679	1.94825007801036	3.62889057619464	0.174305472980424	0.165271511004203	2.44374996357504	3.56541172229131	35.3689194444444	29.0822805555555	0.331495388619962	0.236177690488074	0.0803460051998474	393.395784290276	642.473501925216	37.2148587301587	0.0847471381355243	0.109739606855706	27.2954325396825	27.0531492063492
