ID	gene	Count
positive regulation of cell-cell adhesion	ADAM19	16
positive regulation of cell-cell adhesion	CCL5	16
positive regulation of cell-cell adhesion	CORO1A	16
positive regulation of cell-cell adhesion	DPP4	16
positive regulation of cell-cell adhesion	IFNG	16
positive regulation of cell-cell adhesion	JAK3	16
positive regulation of cell-cell adhesion	KLRK1	16
positive regulation of cell-cell adhesion	LEF1	16
positive regulation of cell-cell adhesion	RASGRP1	16
positive regulation of cell-cell adhesion	RHOH	16
positive regulation of cell-cell adhesion	RUNX3	16
positive regulation of cell-cell adhesion	SLAMF1	16
positive regulation of cell-cell adhesion	TNFSF14	16
positive regulation of cell-cell adhesion	XCL1	16
positive regulation of cell-cell adhesion	ZAP70	16
positive regulation of leukocyte activation	ADA	17
positive regulation of leukocyte activation	CCL5	17
positive regulation of leukocyte activation	CD2	17
positive regulation of leukocyte activation	CORO1A	17
positive regulation of leukocyte activation	DPP4	17
positive regulation of leukocyte activation	IFNG	17
positive regulation of leukocyte activation	JAK3	17
positive regulation of leukocyte activation	KLRK1	17
positive regulation of leukocyte activation	LEF1	17
positive regulation of leukocyte activation	RASGRP1	17
positive regulation of leukocyte activation	RHOH	17
positive regulation of leukocyte activation	RUNX3	17
positive regulation of leukocyte activation	SLAMF1	17
positive regulation of leukocyte activation	TBX21	17
positive regulation of leukocyte activation	TNFSF14	17
positive regulation of leukocyte activation	XCL1	17
positive regulation of leukocyte activation	ZAP70	17
leukocyte cell-cell adhesion	ADA	17
leukocyte cell-cell adhesion	CCL5	17
leukocyte cell-cell adhesion	CORO1A	17
leukocyte cell-cell adhesion	DPP4	17
leukocyte cell-cell adhesion	IFNG	17
leukocyte cell-cell adhesion	JAK3	17
leukocyte cell-cell adhesion	KLRK1	17
leukocyte cell-cell adhesion	LAG3	17
leukocyte cell-cell adhesion	LEF1	17
leukocyte cell-cell adhesion	RASGRP1	17
leukocyte cell-cell adhesion	RHOH	17
leukocyte cell-cell adhesion	RUNX3	17
leukocyte cell-cell adhesion	SLAMF1	17
leukocyte cell-cell adhesion	TBX21	17
leukocyte cell-cell adhesion	TNFSF14	17
leukocyte cell-cell adhesion	XCL1	17
leukocyte cell-cell adhesion	ZAP70	17
leukocyte mediated cytotoxicity	CD2	11
leukocyte mediated cytotoxicity	CORO1A	11
leukocyte mediated cytotoxicity	GZMB	11
leukocyte mediated cytotoxicity	KLRB1	11
leukocyte mediated cytotoxicity	KLRC4	11
leukocyte mediated cytotoxicity	KLRK1	11
leukocyte mediated cytotoxicity	LAG3	11
leukocyte mediated cytotoxicity	NKG7	11
leukocyte mediated cytotoxicity	RASGRP1	11
leukocyte mediated cytotoxicity	SLAMF7	11
leukocyte mediated cytotoxicity	XCL1	11
cell killing	CD2	12
cell killing	CORO1A	12
cell killing	GZMB	12
cell killing	IFNG	12
cell killing	KLRB1	12
cell killing	KLRC4	12
cell killing	KLRK1	12
cell killing	LAG3	12
cell killing	NKG7	12
cell killing	RASGRP1	12
cell killing	SLAMF7	12
cell killing	XCL1	12
leukocyte activation involved in immune response	ADA	14
leukocyte activation involved in immune response	BATF	14
leukocyte activation involved in immune response	CD244	14
leukocyte activation involved in immune response	CORO1A	14
leukocyte activation involved in immune response	EOMES	14
leukocyte activation involved in immune response	IFNG	14
leukocyte activation involved in immune response	ITM2A	14
leukocyte activation involved in immune response	JAK3	14
leukocyte activation involved in immune response	LEF1	14
leukocyte activation involved in immune response	NKG7	14
leukocyte activation involved in immune response	RASGRP1	14
leukocyte activation involved in immune response	SLAMF1	14
leukocyte activation involved in immune response	TBX21	14
leukocyte activation involved in immune response	ZNF683	14
negative regulation of immune system process	ADA	17
negative regulation of immune system process	CD96	17
negative regulation of immune system process	CDK6	17
negative regulation of immune system process	CST7	17
negative regulation of immune system process	DPP4	17
negative regulation of immune system process	GPR18	17
negative regulation of immune system process	GPR68	17
negative regulation of immune system process	JAK3	17
negative regulation of immune system process	KLRK1	17
negative regulation of immune system process	LAG3	17
negative regulation of immune system process	NLRC3	17
negative regulation of immune system process	PVRIG	17
negative regulation of immune system process	RUNX3	17
negative regulation of immune system process	SLAMF1	17
negative regulation of immune system process	TBX21	17
negative regulation of immune system process	UBASH3A	17
negative regulation of immune system process	XCL1	17
leukocyte migration	ADA	14
leukocyte migration	ASB2	14
leukocyte migration	CCL5	14
leukocyte migration	CCR5	14
leukocyte migration	CORO1A	14
leukocyte migration	DPP4	14
leukocyte migration	GPR18	14
leukocyte migration	KLRK1	14
leukocyte migration	PDE4B	14
leukocyte migration	SLAMF1	14
leukocyte migration	TBX21	14
leukocyte migration	TNFSF14	14
leukocyte migration	XCL1	14
leukocyte migration	ZAP70	14
mononuclear cell proliferation	ADA	12
mononuclear cell proliferation	CCL5	12
mononuclear cell proliferation	CORO1A	12
mononuclear cell proliferation	IKZF3	12
mononuclear cell proliferation	JAK3	12
mononuclear cell proliferation	LEF1	12
mononuclear cell proliferation	RASGRP1	12
mononuclear cell proliferation	SLAMF1	12
mononuclear cell proliferation	ST6GAL1	12
mononuclear cell proliferation	TNFSF14	12
mononuclear cell proliferation	XCL1	12
mononuclear cell proliferation	ZAP70	12
type II interferon production	CD2	8
type II interferon production	CD244	8
type II interferon production	CD96	8
type II interferon production	KLRK1	8
type II interferon production	PDE4B	8
type II interferon production	RASGRP1	8
type II interferon production	SLAMF1	8
type II interferon production	XCL1	8
regulation of type II interferon production	CD2	8
regulation of type II interferon production	CD244	8
regulation of type II interferon production	CD96	8
regulation of type II interferon production	KLRK1	8
regulation of type II interferon production	PDE4B	8
regulation of type II interferon production	RASGRP1	8
regulation of type II interferon production	SLAMF1	8
regulation of type II interferon production	XCL1	8
