gene,HR,z,pvalue,lower,upper
TUBB3,1.359990522,6.261313208,3.82E-10,1.235194821,1.497394733
S100A12,1.359442042,6.561189693,5.34E-11,1.240289536,1.490041327
SLC40A1,1.357882728,4.146817175,0.0000337,1.17507571,1.56912911
CCL13,1.357218918,3.731174075,0.000190589,1.15603154,1.593419493
FCER2,1.348461377,3.402942669,0.000666643,1.135158556,1.601845024
PGA3,1.348147913,2.828784867,0.00467251,1.096092066,1.658166182
PI3,1.34224734,5.459285275,4.78E-08,1.207643586,1.491854006
MMP7,1.327454033,5.45892032,4.79E-08,1.199087086,1.469563162
OLIG1,1.302441252,4.538040074,0.00000568,1.161968872,1.459895577
FBXO15,1.302052494,3.237714444,0.001204913,1.109781946,1.527634057
MPO,1.299313248,3.929082094,0.0000853,1.140221959,1.480602003
ABLIM3,1.298121848,2.94452627,0.003234495,1.091162243,1.544335265
AREG,1.291997801,3.743937594,0.000181159,1.129837173,1.47743264
LOC283050,1.290839593,3.216640343,0.001297011,1.104881133,1.508096034
SLC24A3,1.290712819,3.071590752,0.002129214,1.096755682,1.518970551
B3GNT8,1.289162447,3.820795428,0.000133022,1.131677883,1.4685626
C14orf34,1.288930087,3.514073916,0.00044129,1.118791793,1.484941862
KRT14,1.286561071,4.410842221,0.0000103,1.150283394,1.43898399
FABP3,1.28041176,2.843425816,0.00446314,1.079826282,1.51825743
KRT17,1.274583674,4.756606077,0.00000197,1.153323719,1.408592848
MMP9,1.270687656,4.128757492,0.0000365,1.134097802,1.423728285
NRG1,1.269792766,4.418929886,0.00000992,1.142150602,1.411699707
CCR3,1.267185778,3.788410975,0.000151614,1.121076021,1.432338009
CLDN18,1.263752721,4.177167538,0.0000295,1.132299576,1.410466783
NIPAL4,1.258650252,3.745172265,0.00018027,1.115890727,1.419673466
NT5DC2,1.258433831,4.625622068,0.00000373,1.141643093,1.387172327
TIMP3,1.25666894,4.165294498,0.0000311,1.128581329,1.399293773
HS3ST2,1.254957815,4.69219172,0.0000027,1.141381935,1.379835328
IBSP,1.252320598,4.679396359,0.00000288,1.139691742,1.376079885
DEFA3,1.214408946,5.206502582,0.000000192,1.128771815,1.306543154
EHD2,1.214054181,3.968914384,0.0000722,1.103160974,1.336094722
SFTPB,1.204726428,6.047651386,1.47E-09,1.134158006,1.279685687
HBQ1,1.191717421,3.4265176,0.000611374,1.077959038,1.31748087
CDA,1.190612818,3.398302813,0.000678053,1.076638849,1.316652176
OR8G5,1.189235682,3.053726396,0.002260181,1.06404242,1.329158951
ALPL,1.180880178,3.936999007,0.0000825,1.087074881,1.282780073
KRT80,1.177875457,3.388196387,0.000703539,1.071446879,1.294875761
CYP1B1,1.166492483,2.821067735,0.00478641,1.048129801,1.298221567
HBB,1.165890027,3.805183899,0.000141699,1.077268038,1.261802548
AQP4,1.165865049,3.730617162,0.000191011,1.075556185,1.263756679
HBA2,1.159234838,3.911678627,0.0000917,1.076509946,1.248316761
DACH1,1.151985752,2.975462386,0.002925472,1.049473175,1.264511762
LIPH,1.151343153,3.007594175,0.002633245,1.050314493,1.262089654
SV2B,1.148197983,2.647163249,0.008117016,1.036526138,1.271900978
HBD,1.146347507,3.723037507,0.00019684,1.066816424,1.231807626
LRRC4,1.1450141,3.510115919,0.000447911,1.061627805,1.23495003
PDZK1IP1,1.140815947,2.910923161,0.003603626,1.043978504,1.246635846
LOC729040,1.138222754,3.173205379,0.001507658,1.050746368,1.232981696
CLGN,1.134966957,2.608929879,0.009082585,1.031993499,1.248215222
COL1A1,1.12344852,2.590451892,0.009585002,1.028736372,1.226880483
,,,,,
