cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
Macrophage	BECN1	-0.067896477	0.446730093	0.944032102	pseudobulk	edgeR	LRT
Macrophage	BEGAIN	-0.276303136	0.480823389	0.96717303	pseudobulk	edgeR	LRT
Macrophage	BEND2	0.584053922	0.204549179	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BEND3	0.286768824	0.442676941	0.94207621	pseudobulk	edgeR	LRT
Macrophage	BEND4	-0.446817186	0.316175617	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BEND5	-0.968045512	0.228434313	0.813994883	pseudobulk	edgeR	LRT
Macrophage	BEND6	1.584585754	0.010832504	0.401168628	pseudobulk	edgeR	LRT
Macrophage	BEND7	-0.248239034	0.566074108	1	pseudobulk	edgeR	LRT
Macrophage	BEST1	-0.089546992	0.819091292	1	pseudobulk	edgeR	LRT
Macrophage	BEST2	0.450878204	0.483654642	0.96862866	pseudobulk	edgeR	LRT
Macrophage	BEST3	-0.598736031	0.29323876	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BEST4	-0.475517045	0.420749571	0.92482543	pseudobulk	edgeR	LRT
Macrophage	BET1	-0.175071275	0.180289296	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BET1L	-0.021365997	0.867049749	1	pseudobulk	edgeR	LRT
Macrophage	BEX1	0.488811938	0.421287675	0.925149746	pseudobulk	edgeR	LRT
Macrophage	BEX2	0.032265883	0.936622401	1	pseudobulk	edgeR	LRT
Macrophage	BEX3	1.012066377	0.740301628	1	pseudobulk	edgeR	LRT
Macrophage	BEX4	-0.131241589	0.451070235	0.947349602	pseudobulk	edgeR	LRT
Macrophage	BEX5	-1.188933806	0.000482351	0.120133152	pseudobulk	edgeR	LRT
Macrophage	BFAR	-0.063112973	0.60766233	1	pseudobulk	edgeR	LRT
Macrophage	BFSP1	-0.370467771	0.427325888	0.930200841	pseudobulk	edgeR	LRT
Macrophage	BFSP2	0.089967916	0.852447632	1	pseudobulk	edgeR	LRT
Macrophage	BFSP2-AS1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BGLAP	0.010022972	0.990771433	1	pseudobulk	edgeR	LRT
Macrophage	BGN	-0.170077231	0.758827912	1	pseudobulk	edgeR	LRT
Macrophage	BHLHB9	0.222370395	0.605845045	1	pseudobulk	edgeR	LRT
Macrophage	BHLHE22	0.479349751	0.489644217	0.970233677	pseudobulk	edgeR	LRT
Macrophage	BHLHE40	-0.114462811	0.451969947	0.948410139	pseudobulk	edgeR	LRT
Macrophage	BHLHE40-AS1	-0.80600229	0.386182973	0.900301935	pseudobulk	edgeR	LRT
Macrophage	BHLHE41	-0.241751987	0.296612292	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BHMT	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BHMT2	0.369813617	0.651350015	1	pseudobulk	edgeR	LRT
Macrophage	BICC1	0.553065472	0.308003709	0.835907844	pseudobulk	edgeR	LRT
